,영단어,의미
113,faculty,능력
114,fatal,치명적인
115,federal,연방의
116,fertile,비옥한
117,flee,달아나다
118,flip,"튀기다, 홱 움직이다, 튀기기"
119,fluid,"유체, 유동적인"
120,flush,"상기되다, (물이) 쏟아지다"
121,fond,좋아하는
122,formula,공식
123,foster,기르다
124,fraction,분수
125,frost,서리
126,furious,노하여 펄펄뛰는
127,furnish,공급하다
128,fuse,"퓨즈, 도화선, 신관"
129,gasoline,가솔린
130,gaze,지켜보다
131,generate,"발생시키다, 만들어 내다"
132,glare,"노려보다, 환한 빛"
133,glimpse,흘끗 봄
134,grasp,붙잡다
135,gross,총계의
136,guardian,보호자
137,gulf,만
138,habitat,서식지
139,halt,멈춰서다
140,haunt,"귀신이 나타나다, 뇌리에서 떠나지 않다; 자주 가는 곳"
141,headquarters,본부
142,heir,상속인
143,hence,그러므로
144,heritage,유산
145,hook,갈고리
146,horn,뿔
147,hostage,"인질, 볼모"
148,hostile,"적대적인, 반대하는"
149,hypothesis,가설
150,ideology,"관념, 이념"
151,illusion,환영
152,immense,"엄청난, 어마어마한"
153,immigrate,이주해오다
154,implement,"시행하다, 도구"
155,imply,암시하다
156,impose,부과하다
157,incline,기울이다
158,incorporate,"포함하다, 설립하다"
159,index,색인
160,induce,"설득하다, 유도하다"
161,inevitable,피할 수 없는
162,infect,감염시키다
163,infer,추론하다
164,inflate,부풀게 하다
165,inherent,내재하는
166,inhibit,"억제하다, 못하게 하다"
167,inquire,묻다
168,integrate,통합하다
169,intervene,"개입하다, 끼어들다"
170,intrigue,"강한 흥미를 불러일으키다, 모의, 음모"
171,judicial,사법의
172,keen,열망하는; 날카로운
173,knot,매듭(=tie)
174,lease,임대차 계약; 임대하다
175,legislate,법률을 제정하다
176,legitimate,합법의
177,literal,문자의
178,lone,혼자의
179,lump,덩어리
180,magnificent,장대한
181,manifest,나타내다; 분명한
182,manipulate,"조종하다, 다루다"
183,meanwhile,그동안에
184,medieval,중세(풍)의
185,mere,단순한
186,merge,합병하다
187,metropolitan,"대도시, 수도권의"
188,migrate,이주하다
189,mock,조롱하다
190,moderate,"보통의, 적당한"
191,modest,겸손한
192,modify,변경하다
193,molecule,분자
194,monument,기념비
195,mortal,죽을 운명의
196,mutual,상호의
197,naive,순진한
198,nanny,유모
199,nasty,"끔찍한, 못된"
200,nominate,추천하다
201,nonetheless,"그렇기는 하지만, 그렇더라도"
202,norm,표준
203,notion,관념
204,numerous,"다수의, 많은"
205,nun,수녀
206,oblige,의무적으로[부득이] …하게 하다
207,obsess,"(어떤 생각이 사람의 마음을) 사로잡다, … 생각만 하게[…에 집착하게] 하다"
208,orbit,궤도
209,ounce,"온스, 아주 적은 양"
210,outrage,"격노, 잔학 행위"
211,overwhelm,압도하다
212,panel,판벽널
213,parallel,평행의
214,parliament,의회
215,particle,입자
216,pat,쓰다듬다[토닥거리다]
217,patch,"(특히 주변과는 다른 조그만) 부분, (구멍 난 데를 때우거나 장식용으로 덧대는 데 쓰이는) 조각"
218,patent,특허권[증]
219,patrol,순찰을 돌다
220,pave,포장하다
221,peasant,소작농
222,persist,집요하게[고집스럽게/끈질기게] 계속하다
223,perspective,"관점, 시각"
224,phase,"단계, 국면"
225,pinch,꼬집다
226,pitch,던지다
227,polish,"닦다, 갈다, 윤내다"
228,pope,로마 교황 최고 권위자로 자처하는 사람
229,portion,"일부, 부분"
230,preach,설교하다
231,precede,-에 앞서다
232,predator,약탈자
233,prejudice,"편견, 선입관"
234,premier,"최고의, 제1의"
235,premium,"할증금, 액면 초과액, 프리미엄"
236,presume,"추정하다, 간주하다"
237,prevail,"만연하다, 이기다"
238,prior,"이전의, 앞의"
239,privilege,"특권, 특전, 특별 취급"
240,procedure,"절차, 방법"
241,profile,"옆 얼굴, 반면상 인물 소개 태도, 자세"
242,profound,"깊은, 심오한"
243,prohibit,"금하다, 금지하다"
244,prominent,"두드러진, 현저한, 중요한"
245,prompt,"즉각적인, 신속한, 시간을 엄수하는"
246,proportion,"비율, 비 균형, 조화"
247,prosper,번영하다
248,provoke,"유발하다, 화나게 하다"
249,questionnaire,"설문지, 질문표"
250,quote,인용하다
251,rage,격노
252,rally,결집하다
253,rational,"합리적인, 이성적인"
254,rear,뒤
255,rebel,반역자
256,recruit,"모집하다; 신병, 신입사원"
257,refine,"정제, 개선하다"
258,regulate,"규제하다, 조절하다"
259,reinforce,"강화하다, 보강하다"
260,relevant,"관련 있는, 적절한"
261,reluctant,마음이 내키지 않는
262,reputation,평판
263,reside,거주하다
264,resign,사임하다
265,respective,각각의
266,restrain,제지하다
267,restrict,제한하다
268,resume,다시 시작하다
269,retail,소매
270,retain,보유하다
271,retreat,후퇴하다
272,revenge,복수
273,reverse,뒤바꾸다; 반대의
274,rid,"없애다, 면하게 하다"
275,ridiculous,"말도 안되는, 터무니 없는, 웃기는"
276,riot,"폭동, 소요, 소동"
277,roar,"으르렁거리다;으르렁거림, 포효"
278,rod,막대
279,rot,썩다
280,sack,마대
281,salon,객실
282,scarce,부족한
283,scatter,뿔뿔이 흩어 버리다
284,scope,범위
285,screw,나사
286,scrub,"문질러 씻다, (관목의) 숲"
287,sculpture,"조각, 조각하다"
288,seize,붙잡다
289,sentiment,정서
290,sequence,연속
291,shelter,"주거지, 피난처"
292,shield,방패
293,shrink,줄어들다
294,simulate,"…한 체[척]하다, 가장하다"
295,simultaneous,동시에 일어나는
296,slaughter,도살
297,slight,약간의
298,slope,비탈
299,sneak,몰래 가다
300,sniff,코를 킁킁거리다
301,sole,유일한; 발바닥
302,sophisticated,"세련된, 정교한, 지적인"
303,span,기간; 걸치다
304,spectacle,광경
305,spectrum,스펙트럼
306,sphere,구
307,spill,엎지르다
308,spit,침을 뱉다
309,spite,악의
310,splash,튀기다
311,split,쪼개다
312,spouse,배우자
313,stack,"무더기, 쌓다"
314,starve,굶어 죽다
315,statistic,"통계의, 통계량"
316,steep,"가파른; -에 담그다, 잠기다"
317,stiff,굳은
318,stimulate,자극하다
319,stir,휘젓다
320,stitch,"바늘땀, 바느질하다"
321,strain,"부담, 혹사하다, 안간힘을 쓰다"
322,strip,벗기다
323,stroke,"치기, 때리기; 쓰다듬다"
324,subjective,주관적인
325,submit,제출하다; 굴복시키다
326,subscribe,"구독하다, 가입하다"
327,substance,물질
328,substantial,실체의
329,substitute,"대용하다, 대신하다; 대리(인)"
330,subtle,미묘한
331,suck,빨다
332,suite,수행원
333,supervise,감독하다
334,supplement,부록
335,surrender,넘겨주다
336,suspend,"매달다, 유예하다, 중단하다"
337,sustain,지속시키다
338,swear,맹세하다
339,sweep,청소하다
340,swell,부풀다
341,swift,빠른
342,tease,"놀리다, 장난하다, 괴롭히다"
343,telegraph,전신
344,temporary,일시적인
345,tempt,"유혹하다, 유도하다"
346,tenant,"세입자, 임차인"
347,terminate,끝내다
348,testify,"증언하다, 증명하다"
349,therapy,치료법
350,thread,실
351,tick,시계소리
352,timber,재목
353,torture,고문
354,trail,"자국, 길; 끌다"
355,transact,거래하다
356,transition,"변화, 전환, 과도기"
357,transmit,"전송하다, 전염시키다"
358,treaty,조약
359,tremendous,"엄청난, 굉장한"
360,trigger,"방아쇠, 촉발시키다"
361,trim,"다듬다, 손질하다"
362,undergo,겪다
363,underlie,(…의) 기저를 이루다[기저가 되다]
364,undermine,기반을 약화시키다
365,undertake,착수하다
366,utilize,-을 이용하다
367,utter,말을 하다; 완전한
368,vague,"희미한, 모호한"
369,valid,유효한
370,vanish,자취를 감추다
371,verbal,"말의, 말에 관한, 언어상의, 말로 나타낸, 말로 된"
372,verse,"운문, (시의) 연; (노래의) 절"
373,vertical,수직의
374,vessel,"선박[배], 그릇"
375,veteran,"노련가, 경험 많은 대가, 베테랑"
376,veterinarian,수의사
377,vice,"악덕, 비행, 타락 행위"
378,vigorous,"정력적인, 강건한, 활기 있는, 격렬한"
379,virgin,"처녀, 동정녀"
380,virtual,"사실상의, 실질상의, 실제의 허상의"
381,virtue,"덕, 덕행, 선, 선행"
382,vital,"생명의, 생명에 관한, 생명유지에 필요한"
383,vivid,"발랄한, 약동적인, 힘찬, 생기있는"
384,vocation,"천직, 소명 의식"
385,wagon,짐마차
386,wander,헤매다
387,warehouse,창고
388,warrant,"보증, 보증하다"
389,warrior,전사
390,weave,짜다
391,weed,"잡초, 잡초를 뽑다"
392,whereas,반면에
393,whip,"채찍, 채찍질하다"
394,wicked,사악한
395,widow,미망인
396,withdraw,물러나다
397,wreck,"망가뜨리다; 난파선, 잔해"
398,yield,(수익·결과·농작물 등을) 내다[산출/생산하다]; 굴복하다
