,영단어,의미
227,turn in,"~을 제출하다, ~을 돌려주다[반납하다]"
228,turnover,"[명] 회전율, 이직률, 전복"
229,unconscious of,~을 의식하지 못하는
230,underappreciated,[형] 덜 인정받는
231,urgent,[형] 긴급한
232,used to,~하곤 했다
233,vague,"[형] 희미한, 애매한, 모호한"
234,versed in,조예가 깊은
235,vice versa,그 역[반대]도 마찬가지이다
236,vigilante,[명] 자경단원
237,villain,[명] 악당
238,vinegar,식초
239,wander about,돌아다니다
240,wasted on,…에게는 소용없는 일이다
241,wedge,"[명] 웨지(골프채의 한 종류), 쐐기"
242,yield,"[동] 내다, 산출[생산]하다; 굴복하다, 양보하다"
